,title
2615,Ghostbusters II
2618,Inspector Gadget
2629,The 400 Blows
2646,Allan Quatermain and the Lost City of Gold
2687,Damien: Omen II
2688,Omen III: The Final Conflict
2689,Airplane!
2690,Airplane II: The Sequel
2692,National Lampoon’s European Vacation
2693,National Lampoon's Vacation
2696,Problem Child
2702,A Christmas Story
2705,Universal Soldier: The Return
2706,Universal Soldier
2739,Stir of Echoes
2764,Fright Night
2765,Fright Night Part 2
2776,Armour of God II: Operation Condor
2777,Armour of God
2798,Phantasm
2799,Psycho II
2800,Psycho III
2821,Drunken Master
2841,The Dirty Dozen
2844,Goldfinger
2845,From Russia with Love
2846,Dr. No
2847,The Blue Lagoon
2848,A Fistful of Dollars
2850,Home Alone 2: Lost in New York
2851,Penitentiary
2852,Penitentiary II
2871,Bats
2880,The Ipcress File
2881,On Any Sunday
2882,RoboCop
2883,RoboCop 2
2886,For Your Eyes Only
2887,Licence to Kill
2888,Live and Let Die
2890,Thunderball
2892,House on Haunted Hill
2910,Bride of Re-Animator
2913,Creepshow
2914,Creepshow 2
2915,Re-Animator
2921,Piranha
2931,Mister Roberts
2936,Meatballs
2937,Meatballs Part II
2938,Meatballs III: Summer Job
2939,Meatballs 4
2950,Pokémon: The First Movie: Mewtwo Strikes Back
2956,The Commitments
2959,Poison Ivy
2960,Poison Ivy: The New Seduction
2978,The World Is Not Enough
3010,Toy Story 2
3037,The Two Jakes
3042,Deuce Bigalow: Male Gigolo
3048,The Last Picture Show
3049,The 7th Voyage of Sinbad
3053,Stuart Little
3073,Next Friday
3108,Batman: Mask of the Phantasm
3142,Sister Act
3148,Wayne's World
3149,Wayne's World 2
3151,Patriot Games
3162,El Mariachi
3165,The Cutting Edge
3168,Scream 3
3169,Single White Female
3170,The Boondock Saints
3191,"To Sir, with Love"
3195,Pitch Black
3196,The Whole Nine Yards
3234,Cross of Iron
3258,American Graffiti
3290,The Muppet Movie
3303,Final Destination
3323,Death Wish
3324,Death Wish 2
3325,Death Wish 3
3326,Death Wish 4: The Crackdown
3327,Death Wish 5: The Face of Death
3331,Teenage Mutant Ninja Turtles
3332,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
3333,Teenage Mutant Ninja Turtles III
3337,Bloodsport
3343,Grumpy Old Men
3361,The Hustler
3376,The Skulls
3399,The Odd Couple
3416,Arthur
3417,Bachelor Party
3419,Predator
3426,American Psycho
3429,East Is East
3443,Caddyshack
3454,The Crow: Salvation
3455,The Flintstones in Viva Rock Vegas
3463,Carnosaur
3464,Carnosaur 2
3465,Carnosaur 3: Primal Species
3467,The Hidden
3477,Inferno
3484,Center Stage
3498,Pee-wee's Big Adventure
3501,Saludos Amigos
3507,Road Trip
3513,Mission: Impossible II
3514,Shanghai Noon
3523,On Her Majesty's Secret Service
3525,The Spy Who Loved Me
3528,Moonraker
3529,The Man with the Golden Gun
3536,Big Momma's House
3544,The Guns of Navarone
3548,Quatermass and the Pit
3549,Quatermass II
3550,Puppet Master
3551,Puppet Master II
3552,Puppet Master III Toulon's Revenge
3553,Puppet Master 4
3554,Puppet Master 5: The Final Chapter
3555,Curse of the Puppet Master
3556,Retro Puppet Master
3563,Benji the Hunted
3564,For the Love of Benji
3570,The Decline of Western Civilization Part II: The Metal Years
3571,For a Few Dollars More
3572,Magnum Force
3578,Porky's
3579,Porky's II: The Next Day
3580,Porky's 3: Revenge
3583,The Toxic Avenger
3587,Predator 2
3591,Alien Nation
3592,Mad Max
3593,Mad Max 2: The Road Warrior
3594,Mad Max Beyond Thunderdome
3597,Nine 1/2 Weeks
3598,Firestarter
3619,Shaft
3634,Shaft
3652,F/X
3653,F/X2
3655,Missing in Action
3656,Missing in Action 2: The Beginning
3657,Braddock: Missing in Action III
3660,The Golden Voyage of Sinbad
3662,House Party
3670,Shaft in Africa
3671,Shaft's Big Score!
3674,Scary Movie
3682,X-Men
3688,Pokémon: The Movie 2000
3696,Sinbad and the Eye of the Tiger
3709,Nutty Professor II: The Klumps
3714,Hollow Man
3725,Phantasm II
3727,Phantasm IV: Oblivion
3728,Pumpkinhead
3730,Sleepaway Camp
3734,Ilsa: She Wolf of the SS
3750,The Cell
3751,Godzilla 2000
3755,The Naked Gun: From the Files of Police Squad!
3756,The Naked Gun 2½: The Smell of Fear
3766,The Art of War
3769,Bring It On
3776,Highlander: Endgame
3779,Anatomy
3795,Urban Legends: Final Cut
3797,Dancer in the Dark
3804,Hellraiser
3805,Hellbound: Hellraiser II
3806,Hellraiser III: Hell on Earth
3808,Beach Party
3809,Bikini Beach
3810,Return of the Fly
3817,Creature from the Black Lagoon
3819,The Invisible Man
3824,The Slumber Party Massacre
3825,Slumber Party Massacre II
3827,Sorority House Massacre
3828,Sorority House Massacre II
3834,Meet the Parents
3843,Billy Jack
3844,Billy Jack Goes to Washington
3847,Ghoulies
3848,Ghoulies II
3858,The Legend of Drunken Master
3859,Book of Shadows: Blair Witch 2
3863,Charlie's Angels
3870,Diamonds Are Forever
3876,Rugrats in Paris: The Movie
3877,102 Dalmatians
3882,"Crouching Tiger, Hidden Dragon"
3883,Dungeons & Dragons
3891,The Living Daylights
3893,Wall Street
3902,The Emperor's New Groove
3911,Miss Congeniality
3916,Dracula 2000
3925,Annie
3939,Save the Last Dance
3970,Beverly Hills Cop
3975,The Brave Little Toaster
3990,The Evil Dead
4009,Jaws: The Revenge
4013,The Lost Boys
4017,Mannequin
4027,Left Behind
4029,In the Mood for Love
4033,Hannibal
4039,Recess: School's Out
4077,Demetrius and the Gladiators
4080,The Abominable Dr. Phibes
4094,Manhunter
4098,Revenge of the Nerds
4099,Revenge of the Nerds II: Nerds in Paradise
4106,C.H.U.D.
4116,Spy Kids
4122,Along Came a Spider
4124,Just Visiting
4125,Pokémon: Spell of the Unknown
4126,Pokémon: Spell of the Unknown
4127,Pokémon: Spell of the Unknown
4128,Pokémon: Spell of the Unknown
4133,Bridget Jones's Diary
4134,Joe Dirt
4141,Crocodile Dundee in Los Angeles
4156,The Mummy Returns
4192,Shrek
4207,City Slickers
4211,La Notte
4213,The Magnificent Seven
4214,Return of the Seven
4252,Atlantis: The Lost Empire
4253,Lara Croft: Tomb Raider
4254,Dr. Dolittle 2
4255,The Fast and the Furious
4269,The Crimson Rivers
4272,Cats & Dogs
4274,Scary Movie 2
4280,Beach Blanket Bingo
4282,The Cannonball Run
4283,Cannonball Run II
4284,Speed Zone
4288,Dr. Goldfoot and the Bikini Machine
4301,Nice Dreams
4304,Things Are Tough All Over
4323,Suspiria
4332,Final Fantasy: The Spirits Within
4333,Legally Blonde
4357,Arthur 2: On the Rocks
4363,Big Top Pee-wee
4369,Caddyshack II
4381,Critters
4382,Critters 2
4383,Critters 3
4387,The Dead Pool
4390,Elvira makes her big screen debut in her new comedy.
4391,Ernest Saves Christmas
4408,The Land Before Time
4421,Return of the Living Dead Part II
4422,The Return of the Living Dead
4423,Return to Snowy River
4424,The Man from Snowy River
4433,Short Circuit 2
4434,Short Circuit
4450,Waxwork
4457,Best of the Best 2
4459,Bill & Ted's Excellent Adventure
4464,C.H.U.D. II: Bud the Chud
4468,Cyborg
4472,Dream a Little Dream
4476,Eddie and the Cruisers II: Eddie Lives!
4477,Eddie and the Cruisers
4501,K-9
4502,Kickboxer
4509,Look Who's Talking
4511,Major League
4526,Jurassic Park III
4540,The Return of Swamp Thing
4542,Road House
4557,Stepfather II: Make Room For Daddy
4558,The Stepfather
4570,Warlock
4574,Weekend at Bernie's II
4585,Basket Case
4588,The Princess Diaries
4589,Rush Hour 2
4602,Any Which Way You Can
4606,American Pie 2
4631,Jeepers Creepers
4635,3 Ninjas
4636,3 Ninjas Kick Back
4637,3 Ninjas Knuckle Up
4668,Megiddo: The Omega Code 2
4677,The Return of a Man Called Horse
4703,Zoolander
4708,Joy Ride
4721,Cheech & Chong's Next Movie
4742,Dirty Harry
4765,Donnie Darko
4773,"Monsters, Inc."
4780,When a Stranger Calls
4783,Harry Potter and the Philosopher's Stone
4799,Funny Girl
4802,The Beastmaster
4821,The Exterminator
4830,At the Earth's Core
4832,The Enforcer
4840,The People That Time Forgot
4844,Sudden Impact
4845,Behind Enemy Lines
4850,Ocean's Eleven
4867,Bill & Ted's Bogus Journey
4880,The Lord of the Rings: The Fellowship of the Ring
4889,Fritz the Cat
4893,Sex and Zen
4914,Another 48 Hrs.
4927,Conan the Destroyer
4936,48 Hrs.
4989,The Sandlot
4995,Return to Never Land
5003,Funny Lady
5006,Sleuth
5014,Queen of the Damned
5025,The Bad News Bears
5026,The Bad News Bears Go to Japan
5027,The Bad News Bears in Breaking Training
5029,The Lone Ranger
5045,FernGully: The Last Rainforest
5051,Zombie Flesh Eaters
5096,"Oh, God! Book II"
5097,"Oh, God!"
5101,Ice Age
5102,Resident Evil
5113,The Paleface
5114,Road to Morocco
5115,Road to Singapore
5117,Road to Zanzibar
5129,Smokey and the Bandit II
5130,Smokey and the Bandit
5131,Smokey and the Bandit Part 3
5137,Blade II
5169,National Lampoon’s Van Wilder
5178,Slap Shot
5185,My Big Fat Greek Wedding
5190,"Rome, Open City"
5191,Return of the Killer Tomatoes!
5192,Return to Horror High
5194,Three Men and a Baby
5199,The Scorpion King
5209,Jason X
5235,Spider-Man
5247,White Fang
5248,White Fang 2: Myth of the White Wolf
5264,Star Wars: Episode II - Attack of the Clones
5268,Every Which Way But Loose
5286,The Sum of All Fears
5304,The Bourne Identity
5305,Scooby-Doo
5314,Cheech & Chong's The Corsican Brothers
5330,Lilo & Stitch
5338,Look Who's Talking Now!
5344,Like Mike
5345,Men in Black II
5362,Halloween: Resurrection
5366,Stuart Little 2
5367,Austin Powers in Goldmember
5379,In Like Flint
5381,Modesty Blaise
5383,Our Man Flint
5390,Spy Kids 2: The Island of Lost Dreams
5393,xXx
5410,Blue Crush
5417,Undisputed
5424,The Care Bears Movie
5427,Hot Shots!
5432,976-EVIL
5438,The Revenge of Frankenstein
5439,Stakeout
5457,Barbershop
5459,The Transporter
5468,Ernest Goes to Jail
5471,So you think you're lucky to be alive...
5472,The Hills Have Eyes
5513,Red Dragon
5516,Heaven
5521,Mothra vs. Godzilla
5523,"Godzilla, King of the Monsters!"
5528,Texasville
5532,Horror of Dracula
5536,Django
5537,Django Strikes Again
5565,The Ring
5570,Naqoyqatsi
5577,Jason Goes to Hell: The Final Friday
5579,Saturday Night Fever
5580,Staying Alive
5616,Enter the Ninja
5620,Faces of Death II
5621,Faces of Death
5656,My Bloody Valentine
5664,Piranha Part Two: The Spawning
5670,Jackass: The Movie
5681,Casino Royale
5689,The Santa Clause 2
5701,Harry Potter and the Chamber of Secrets
5717,Left Behind II: Tribulation Force
5726,Return to the Blue Lagoon
5741,Scanners
5743,Shock Treatment
5760,Die Another Day
5762,Friday After Next
5779,I Spit on Your Grave
5787,Zulu
5788,Analyze That
5823,Class of 1984
5832,Star Trek: Nemesis
5840,The Lord of the Rings: The Two Towers
5857,My Girl 2
5858,My Girl
5887,Heavy Metal 2000
5948,Final Destination 2
5960,Tokyo Decadence
6031,They Call Me Bruce?
6033,Trail of the Pink Panther
6043,Zapped!
6046,Shanghai Knights
6048,The Jungle Book 2
6056,Dennis the Menace
6060,The Black Stallion
6110,Willard
6122,Born Free
6132,Ringu
6149,My Friend Flicka
6150,The Robe
6180,House of 1000 Corpses
6223,X2
6228,Daddy Day Care
6238,Breakin' 2: Electric Boogaloo
6239,Breakin'
6249,The Matrix Reloaded
6254,The Spanish Apartment
6256,Bruce Almighty
6260,Finding Nemo
6262,Wrong Turn
6266,2 Fast 2 Furious
6269,Nevada Smith
6274,A Man Called Horse
6361,Dumb and Dumberer: When Harry Met Lloyd
6364,Rugrats Go Wild
6379,The Satanic Rites of Dracula
6381,28 Days Later
6382,Charlie's Angels: Full Throttle
6414,"Legally Blonde 2: Red, White & Blonde"
6416,Terminator 3: Rise of the Machines
6418,Pirates of the Caribbean: The Curse of the Black Pearl
6427,Bad Boys II
6429,Johnny English
6443,Lara Croft Tomb Raider: The Cradle of Life
6445,Spy Kids 3-D: Game Over
6454,Gator
6464,White Lightning
6465,American Wedding
6474,S.W.A.T.
6483,Hawks and Sparrows
6494,Freddy vs. Jason
6503,Agent Cody Banks
6538,Tremors
6541,The Pink Panther
6542,The Pink Panther Strikes Again
6574,Jeepers Creepers 2
6579,The Other Side of the Bed
6586,Cabin Fever
6588,Once Upon a Time in Mexico
6600,Once Upon a Time in China
6610,Day of the Dead
6633,Underworld
6641,Yossi & Jagger
6672,Beethoven
6673,Beethoven's 2nd
6699,Ginger Snaps
6700,More American Graffiti
6751,House of the Dead
6753,Kill Bill: Vol. 1
6759,The Texas Chainsaw Massacre
6767,Scary Movie 3
6768,Brother Bear
6787,The Eye
6791,Frankenstein and the Monster from Hell
6800,Sherlock Holmes and the Voice of Terror
6801,Sherlock Holmes Faces Death
6811,The Matrix Revolutions
6821,Father of the Bride
6833,Bad Santa
6842,Darkman
6852,Tales from the Crypt
6855,WarGames
6872,Highlander II: The Quickening
6880,Kindergarten Cop
6898,Battle Royale
6912,Teen Wolf
6949,A Shot in the Dark
6993,Leprechaun
7012,Stolen Kisses
7018,Honey
7028,The Lord of the Rings: The Return of the King
7036,Cheaper by the Dozen
7077,Beyond Re-Animator
7105,The Silencers
7129,The Butterfly Effect
7134,You Got Served
7136,Barbershop 2:  Back in Business
7141,The Lost Skeleton of Cadavra
7155,Blacula
7156,Scream Blacula Scream
7183,King Solomon's Mines
7195,Dirty Dancing: Havana Nights
7220,Agent Cody Banks 2: Destination London
7244,Scooby-Doo 2: Monsters Unleashed
7246,Dogville
7248,Hellboy
7250,The Prince & Me
7251,Walking Tall
7256,The Whole Ten Yards
7262,Dawn of the Dead
7280,Road to Bali
7299,Kill Bill: Vol. 2
7312,Mean Girls
7315,Van Helsing
7348,100 Girls
7357,You Only Live Twice
7358,Octopussy
7361,Never Say Never Again
7409,Look Who's Talking Too
7412,The Delta Force
7417,Cat People
7421,The Four Musketeers
7453,Bang Rajan
7462,Sniper
7477,Babylon 5: Thirdspace
7493,Another Thin Man
7494,The Thin Man Goes Home
7495,Shadow of the Thin Man
7496,After the Thin Man
7497,Song of the Thin Man
7507,Tremors 2: Aftershocks
7508,Tremors 3: Back to Perfection
7519,The Vampire Lovers
7521,The Cheerleaders
7526,The Streetfighter
7527,Return of the Street Fighter
7534,Frankenstein Must Be Destroyed
7540,Gidget
7559,The Silence
7582,Infernal Affairs
7587,Robot Jox
7592,Death Race 2000
7625,Harper
7637,Delta Force 2: The Colombian Connection
7679,L'Avventura
7748,Shrek 2
7756,Harry Potter and the Prisoner of Azkaban
7759,The Chronicles of Riddick
7760,Garfield
7774,Police Academy: Mission to Moscow
7785,The Adventures of Sherlock Holmes
7819,Super Size Me
7827,The Born Losers
7828,The Human Condition I: No Greater Love
7840,Godzilla vs. Mechagodzilla
7841,The Hitcher
7874,"Now You See Him, Now You Don't"
7895,The Philadelphia Experiment
7900,Revenge of the Pink Panther
7909,Taxi 3
7916,Lassie Come Home
7940,Spider-Man 2
7942,Before Sunset
7945,Anchorman: The Legend of Ron Burgundy
7947,A Cinderella Story
7964,The Deluge
7969,The Bourne Supremacy
7987,The Magnificent Seven Ride!
8075,Terror by Night
8078,The Woman in Green
8082,Dressed to Kill
8091,Thunderbirds are GO
8114,Harold & Kumar Go to White Castle
8115, she's got 30 days!
8117,AVP: Alien vs. Predator
8121,Without a Paddle
8122,Exorcist: The Beginning
8130,The Sting II
8136,Benji: Off the Leash!
8161,Night of the Demons
8162,Witchboard
8168,Resident Evil: Apocalypse
8199,Basket Case 3
8200,Basket Case 2
8239,It's Alive
8254,The Grudge
8264,Saw
8268,The Incredibles
8274,Seed of Chucky
8276,Bridget Jones: The Edge of Reason
8279,National Treasure
8281,The SpongeBob SquarePants Movie
8291,Ocean's Twelve
8292,Blade: Trinity
8305,That's Entertainment!
8380,The Son of Kong
8396,Werewolf of London
8413,Topper
8441,Why We Fight: Prelude to War
8453,The Curse of the Cat People
8506,King Solomon's Mines
8564,The Human Condition II: Road to Eternity
8581,The Human Condition III: A Soldier's Prayer
8623,Dracula: Prince of Darkness
8662,Dracula Has Risen from the Grave
8683,Taste the Blood of Dracula
8710,They Call Me Trinity
8719,The Emigrants
8722,Dr. Phibes Rises Again
8723,Dracula A.D. 1972
8740,My Name Is Nobody
8751,Walking Tall
8757,Emmanuelle
8761,Gone in 60 Seconds
8772,Dolemite
8774,Emmanuelle II
8784,Sister Street Fighter
8785,Supervixens
8791,Futureworld
8800,Up!
8882,The Ewok Adventure
8890,"Silent Night, Deadly Night"
8901,Demons
8902,Ewoks: The Battle for Endor
8905,Police Story
8928,A Better Tomorrow
8931,Hell Comes to Frogtown
9012,Mannequin Two: On the Move
9053,Return to Lonesome Dove
9054,American Ninja 5
9060,Cyborg 2
9063,Fortress
9070,Philadelphia Experiment II
9072,The Snapper
9079,Naked Killer
9090,Major League II
9093,Pumpkinhead II: Blood Wings
9105,Street Fighter II: The Animated Movie
9120,Pusher
9127,Bikini Summer III: South Beach Heat
9149,The Lion King 2: Simba's Pride
9178,Addams Family Reunion
9203,Candyman: Day of the Dead
9206,The Batman Superman Movie: World's Finest
9207,The End of Evangelion
9214,Freeway II: Confessions of a Trickbaby
9222,Taxi 2
9232,Cruel Intentions 2
9239,Guest House Paradiso
9241,If These Walls Could Talk 2
9248,2046
9267,Batman Beyond: Return of the Joker
9276,Mimic 2
